time_h,time_d,cumulative_gross_injection_m3
0.000000000,0.000000000,0.000000000
1.012347222,0.042181134,24.567100843
2.037936111,0.084914005,69.926784049
3.023083333,0.125961806,107.810682350
4.023083333,0.167628472,143.895310820
5.023083333,0.209295139,178.456650645
6.023083333,0.250961806,211.933081381
7.023083333,0.292628472,244.591720224
8.023083333,0.334295139,276.582625543
9.023083333,0.375961806,307.995936770
10.023083333,0.417628472,338.920635211
11.023083333,0.459295139,369.401854906
12.023083333,0.500961806,399.478409256
13.023083333,0.542628472,429.212247921
14.023083333,0.584295139,458.635719525
15.023083333,0.625961806,487.764367086
16.023083333,0.667628472,516.597001337
17.023083333,0.709295139,545.147251648
18.023083333,0.750961806,573.434300308
19.023083333,0.792628472,601.474100864
20.023083333,0.834295139,629.303418135
21.023083333,0.875961806,656.934647668
22.023083333,0.917628472,684.365728463
23.023083333,0.959295139,711.608311558
24.023083333,1.000961806,738.705153419
25.023083333,1.042628472,765.645575058
26.023083333,1.084295139,792.405467281
27.023083333,1.125961806,819.013015214
28.023055556,1.167627315,845.514371330
29.023055556,1.209293981,871.928018601
30.023055556,1.250960648,898.241667561
31.023055556,1.292627315,924.450695422
32.023055556,1.334293982,950.515387155
33.023055556,1.375960648,976.439458450
34.023055556,1.417627315,1002.276826471
35.023055556,1.459293982,1028.031141896
36.023055556,1.500960648,1053.701623605
37.023055556,1.542627315,1079.302507819
38.023055556,1.584293982,1104.838657365
39.023055556,1.625960648,1130.294171227
40.023055556,1.667627315,1155.663391896
41.023055556,1.709293982,1180.972881381
42.023055556,1.750960648,1206.239189669
43.023055556,1.792627315,1231.462644378
44.023055556,1.834293982,1256.636729889
45.023055556,1.875960648,1281.761414284
46.023055556,1.917627315,1306.839245529
47.023055556,1.959293982,1331.853867803
48.023055556,2.000960648,1356.804281879
49.023055556,2.042627315,1381.708356590
50.023055556,2.084293982,1406.569945497
51.023055556,2.125960648,1431.385683944
52.023055556,2.167627315,1456.150612591
53.023055556,2.209293982,1480.868568673
54.023055556,2.250960648,1505.546505283
55.023055556,2.292627315,1530.182949006
56.023055556,2.334293982,1554.775485033
57.023055556,2.375960648,1579.324965706
58.023055556,2.417627315,1603.829429183
59.023055556,2.459293982,1628.262670210
60.023055556,2.500960648,1652.609081996
61.023055556,2.542627315,1676.890839225
62.023055556,2.584293982,1701.120719120
63.023055556,2.625960648,1725.287398502
64.023055556,2.667627315,1749.384755535
65.023055556,2.709293982,1773.420830303
66.023055556,2.750960648,1797.404734078
67.023055556,2.792627315,1821.341042336
68.023055556,2.834293982,1845.197833165
69.023055556,2.875960648,1868.962162966
70.023055556,2.917627315,1892.653577709
71.023055556,2.959293982,1916.280360380
72.023055556,3.000960648,1939.819289559
73.023055556,3.042627315,1963.259801909
74.023055556,3.084293982,1986.635279914
75.023055556,3.125960648,2009.960739522
76.023055556,3.167627315,2033.229325423
77.023055556,3.209293982,2056.404173748
78.023055556,3.250960648,2079.464118024
79.023055556,3.292627315,2102.404103658
80.023055556,3.334293982,2125.228217332
81.023055556,3.375960648,2147.940750172
82.023055556,3.417627315,2170.540710926
83.023055556,3.459293982,2193.039750705
84.023055556,3.500960648,2215.418439517
85.023055556,3.542627315,2237.678163216
86.023055556,3.584293982,2259.818790822
87.023055556,3.625960648,2281.826572684
88.023055556,3.667627315,2303.706577429
89.023055556,3.709293982,2325.463087884
90.023055556,3.750960648,2347.115013701
91.023055556,3.792627315,2368.631238791
92.023055556,3.834293982,2389.995879095
93.023055556,3.875960648,2411.240660964
94.023055556,3.917627315,2432.376298379
