target_time_h,actual_output_time_h,difference_min,original_vtu,sampled_vtu
0,0.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00000.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00000.vtu
6,6.023083333,1.385000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00006.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00001.vtu
12,12.023083333,1.385000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00012.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00002.vtu
18,18.023083333,1.385000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00018.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00003.vtu
24,24.023083333,1.385000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00024.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00004.vtu
30,30.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00030.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00005.vtu
36,36.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00036.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00006.vtu
42,42.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00042.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00007.vtu
48,48.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00048.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00008.vtu
54,54.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00054.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00009.vtu
60,60.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00060.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00010.vtu
66,66.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00066.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00011.vtu
72,72.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00072.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00012.vtu
78,78.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00078.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00013.vtu
84,84.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00084.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00014.vtu
90,90.023055556,1.383333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00090.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00015.vtu
96,96.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00096.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00016.vtu
102,102.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00102.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00017.vtu
108,108.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00108.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00018.vtu
114,114.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00114.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00019.vtu
120,120.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00120.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00020.vtu
126,126.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00126.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00021.vtu
132,132.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00132.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00022.vtu
138,138.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00138.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00023.vtu
144,144.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00144.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00024.vtu
150,150.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00150.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00025.vtu
156,156.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00156.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00026.vtu
162,162.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00162.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00027.vtu
168,168.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00168.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00028.vtu
174,174.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00174.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00029.vtu
180,180.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00180.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00030.vtu
186,186.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00186.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00031.vtu
192,192.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00192.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00032.vtu
198,198.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00198.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00033.vtu
204,204.051944444,3.116667,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00204.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00034.vtu
210,210.017222222,1.033333,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00210.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00035.vtu
216,216.020000000,1.200000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00216.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00036.vtu
222,222.020000000,1.200000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00222.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00037.vtu
228,228.020000000,1.200000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00228.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00038.vtu
234,234.020000000,1.200000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00234.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00039.vtu
240,240.000000000,0.000000,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h-00240.vtu,drywell_head12m_continuouswet_240h_phaseguardV2_faceSymDisp_gasAdvON_1h_6h-00040.vtu
