absolute_time_h,cycle3_elapsed_h,gross_injection_rate_m3_h,cycle3_cumulative_injection_m3
480.000000000,0.000000000,156.021560854,0.000000000
480.100000000,0.100000000,331.774051256,24.389780606
480.200000000,0.200000000,465.910416824,64.274004010
480.300000000,0.300000000,558.430657559,115.491057729
480.400000000,0.400000000,609.334773459,173.879329280
480.500000000,0.500000000,618.622764525,235.277206179
480.600000000,0.600000000,586.294630757,295.523075943
480.700000000,0.700000000,512.350372155,350.455326089
480.800000000,0.800000000,396.789988720,395.912344132
480.900000000,0.900000000,239.613480450,427.732517591
481.000000000,1.000000000,40.820847346,441.754233981
481.100000000,1.100000000,34.328859346,445.511719315
481.200000000,1.200000000,33.942205894,448.925272577
481.300000000,1.300000000,33.555552442,452.300160494
481.400000000,1.400000000,33.168898988,455.636383066
481.500000000,1.500000000,32.782245534,458.933940292
481.600000000,1.600000000,32.395592079,462.192832172
481.700000000,1.700000000,32.008938623,465.413058707
481.800000000,1.800000000,31.622285166,468.594619897
481.900000000,1.900000000,31.235631708,471.737515741
482.000000000,2.000000000,30.848978250,474.841746238
482.100000000,2.100000000,30.525550976,477.910472700
482.200000000,2.200000000,30.328576072,480.953179052
482.300000000,2.300000000,30.131601168,483.976187914
482.400000000,2.400000000,29.934626264,486.979499286
482.500000000,2.500000000,29.737651359,489.963113167
482.600000000,2.600000000,29.540676455,492.927029557
482.700000000,2.700000000,29.343701550,495.871248458
482.800000000,2.800000000,29.146726644,498.795769867
482.900000000,2.900000000,28.949751739,501.700593787
483.000000000,3.000000000,28.752776833,504.585720215
483.100000000,3.100000000,28.598678410,507.453292977
483.200000000,3.200000000,28.458872147,510.306170505
483.300000000,3.300000000,28.319065884,513.145067407
483.400000000,3.400000000,28.179259621,515.969983682
483.500000000,3.500000000,28.039453358,518.780919331
483.600000000,3.600000000,27.899647094,521.577874353
483.700000000,3.700000000,27.759840831,524.360848750
483.800000000,3.800000000,27.620034567,527.129842520
483.900000000,3.900000000,27.480228304,529.884855663
484.000000000,4.000000000,27.340422040,532.625888180
484.100000000,4.100000000,27.227780238,535.354298294
484.200000000,4.200000000,27.124193258,538.071896969
484.300000000,4.300000000,27.020606277,540.779136946
484.400000000,4.400000000,26.917019296,543.476018224
484.500000000,4.500000000,26.813432315,546.162540805
484.600000000,4.600000000,26.709845334,548.838704687
484.700000000,4.700000000,26.606258353,551.504509872
484.800000000,4.800000000,26.502671372,554.159956358
484.900000000,4.900000000,26.399084391,556.805044146
485.000000000,5.000000000,26.295497410,559.439773236
485.100000000,5.100000000,26.210198582,562.065058036
485.200000000,5.200000000,26.130995805,564.682117755
485.300000000,5.300000000,26.051793028,567.291257197
