absolute_time_h,cycle3_elapsed_h,gross_injection_rate_m3_h,cycle3_cumulative_injection_m3
960.000000000,0.000000000,195.291848813,0.000000000
960.100000000,0.100000000,360.927169509,27.810950916
960.200000000,0.200000000,486.291614699,70.171890127
960.300000000,0.300000000,571.385184382,123.055730081
960.400000000,0.400000000,616.207878559,182.435383228
960.500000000,0.500000000,620.759697229,244.283762017
960.600000000,0.600000000,585.040640393,304.573778898
960.700000000,0.700000000,509.050708051,359.278346320
960.800000000,0.800000000,392.789900202,404.370376733
960.900000000,0.900000000,236.258216847,435.822782586
961.000000000,1.000000000,39.455657985,449.608476327
961.100000000,1.100000000,33.055108871,453.234014670
961.200000000,1.200000000,32.685895904,456.521064909
961.300000000,1.300000000,32.316682936,459.771193851
961.400000000,1.400000000,31.947469967,462.984401496
961.500000000,1.500000000,31.578256998,466.160687844
961.600000000,1.600000000,31.209044028,469.300052895
961.700000000,1.700000000,30.839831057,472.402496650
961.800000000,1.800000000,30.470618085,475.468019107
961.900000000,1.900000000,30.101405113,478.496620266
962.000000000,2.000000000,29.732192139,481.488300129
962.100000000,2.100000000,29.397152352,484.444767354
962.200000000,2.200000000,29.203687193,487.374809331
962.300000000,2.300000000,29.010222033,490.285504792
962.400000000,2.400000000,28.816756873,493.176853737
962.500000000,2.500000000,28.623291714,496.048856167
962.600000000,2.600000000,28.429826553,498.901512080
962.700000000,2.700000000,28.236361393,501.734821477
962.800000000,2.800000000,28.042896232,504.548784359
962.900000000,2.900000000,27.849431072,507.343400724
963.000000000,3.000000000,27.655965910,510.118670573
963.100000000,3.100000000,27.492956966,512.876116717
963.200000000,3.200000000,27.360404237,515.618784777
963.300000000,3.300000000,27.227851508,518.348197564
963.400000000,3.400000000,27.095298779,521.064355079
963.500000000,3.500000000,26.962746050,523.767257320
963.600000000,3.600000000,26.830193321,526.456904289
963.700000000,3.700000000,26.697640592,529.133295984
963.800000000,3.800000000,26.565087863,531.796432407
963.900000000,3.900000000,26.432535133,534.446313557
964.000000000,4.000000000,26.299982404,537.082939434
964.100000000,4.100000000,26.183345211,539.707105814
964.200000000,4.200000000,26.082623556,542.320404253
964.300000000,4.300000000,25.981901901,544.923630526
964.400000000,4.400000000,25.881180246,547.516784633
964.500000000,4.500000000,25.780458590,550.099866575
964.600000000,4.600000000,25.679736935,552.672876351
964.700000000,4.700000000,25.579015279,555.235813962
964.800000000,4.800000000,25.478293624,557.788679407
964.900000000,4.900000000,25.377571968,560.331472686
965.000000000,5.000000000,25.276850312,562.864193800
965.100000000,5.100000000,25.184274547,565.387250043
965.200000000,5.200000000,25.099844671,567.901456004
965.300000000,5.300000000,25.015414796,570.407218978
965.400000000,5.400000000,24.930984920,572.904538963
965.500000000,5.500000000,24.846555045,575.393415962
965.600000000,5.600000000,24.762125169,577.873849972
965.700000000,5.700000000,24.677695293,580.345840995
965.800000000,5.800000000,24.593265418,582.809389031
965.900000000,5.900000000,24.508835542,585.264494079
966.000000000,6.000000000,24.424405666,587.711156139
966.100000000,6.100000000,24.345602110,590.149656528
966.200000000,6.200000000,24.272424875,592.580557878
966.300000000,6.300000000,24.199247639,595.004141503
966.400000000,6.400000000,24.126070403,597.420407405
966.500000000,6.500000000,24.052893167,599.829355584
966.600000000,6.600000000,23.979715932,602.230986039
966.700000000,6.700000000,23.906538696,604.625298770
966.800000000,6.800000000,23.833361460,607.012293778
966.900000000,6.900000000,23.760184224,609.391971062
967.000000000,7.000000000,23.687006988,611.764330623
967.100000000,7.100000000,23.628577836,614.130109864
967.200000000,7.200000000,23.584896770,616.490783594
967.300000000,7.300000000,23.541215703,618.847089218
967.400000000,7.400000000,23.497534636,621.199026735
967.500000000,7.500000000,23.453853569,623.546596145
967.600000000,7.600000000,23.410172502,625.889797449
967.700000000,7.700000000,23.366491435,628.228630646
967.800000000,7.800000000,23.322810368,630.563095736
967.900000000,7.900000000,23.279129301,632.893192719
968.000000000,8.000000000,23.235448234,635.218921596
