time_h,segment,source_vtu,packaged_vtu
0.0,C1,drywell_formal_C1_0_480h_6h-00000.vtu,C1_drywell_formal_C1_0_480h_6h-00000.vtu
6.054749999999999,C1,drywell_formal_C1_0_480h_6h-00001.vtu,C1_drywell_formal_C1_0_480h_6h-00001.vtu
12.05475,C1,drywell_formal_C1_0_480h_6h-00002.vtu,C1_drywell_formal_C1_0_480h_6h-00002.vtu
18.05475,C1,drywell_formal_C1_0_480h_6h-00003.vtu,C1_drywell_formal_C1_0_480h_6h-00003.vtu
24.054750000000002,C1,drywell_formal_C1_0_480h_6h-00004.vtu,C1_drywell_formal_C1_0_480h_6h-00004.vtu
30.05472222222222,C1,drywell_formal_C1_0_480h_6h-00005.vtu,C1_drywell_formal_C1_0_480h_6h-00005.vtu
36.054722222222225,C1,drywell_formal_C1_0_480h_6h-00006.vtu,C1_drywell_formal_C1_0_480h_6h-00006.vtu
42.054722222222225,C1,drywell_formal_C1_0_480h_6h-00007.vtu,C1_drywell_formal_C1_0_480h_6h-00007.vtu
48.054722222222225,C1,drywell_formal_C1_0_480h_6h-00008.vtu,C1_drywell_formal_C1_0_480h_6h-00008.vtu
54.054722222222225,C1,drywell_formal_C1_0_480h_6h-00009.vtu,C1_drywell_formal_C1_0_480h_6h-00009.vtu
60.054722222222225,C1,drywell_formal_C1_0_480h_6h-00010.vtu,C1_drywell_formal_C1_0_480h_6h-00010.vtu
66.05472222222222,C1,drywell_formal_C1_0_480h_6h-00011.vtu,C1_drywell_formal_C1_0_480h_6h-00011.vtu
72.05472222222222,C1,drywell_formal_C1_0_480h_6h-00012.vtu,C1_drywell_formal_C1_0_480h_6h-00012.vtu
78.05472222222222,C1,drywell_formal_C1_0_480h_6h-00013.vtu,C1_drywell_formal_C1_0_480h_6h-00013.vtu
84.05472222222222,C1,drywell_formal_C1_0_480h_6h-00014.vtu,C1_drywell_formal_C1_0_480h_6h-00014.vtu
90.05472222222222,C1,drywell_formal_C1_0_480h_6h-00015.vtu,C1_drywell_formal_C1_0_480h_6h-00015.vtu
96.05472222222222,C1,drywell_formal_C1_0_480h_6h-00016.vtu,C1_drywell_formal_C1_0_480h_6h-00016.vtu
102.05472222222222,C1,drywell_formal_C1_0_480h_6h-00017.vtu,C1_drywell_formal_C1_0_480h_6h-00017.vtu
108.05472222222222,C1,drywell_formal_C1_0_480h_6h-00018.vtu,C1_drywell_formal_C1_0_480h_6h-00018.vtu
114.05472222222222,C1,drywell_formal_C1_0_480h_6h-00019.vtu,C1_drywell_formal_C1_0_480h_6h-00019.vtu
120.05472222222222,C1,drywell_formal_C1_0_480h_6h-00020.vtu,C1_drywell_formal_C1_0_480h_6h-00020.vtu
126.05472222222222,C1,drywell_formal_C1_0_480h_6h-00021.vtu,C1_drywell_formal_C1_0_480h_6h-00021.vtu
132.0547222222222,C1,drywell_formal_C1_0_480h_6h-00022.vtu,C1_drywell_formal_C1_0_480h_6h-00022.vtu
138.0547222222222,C1,drywell_formal_C1_0_480h_6h-00023.vtu,C1_drywell_formal_C1_0_480h_6h-00023.vtu
144.0547222222222,C1,drywell_formal_C1_0_480h_6h-00024.vtu,C1_drywell_formal_C1_0_480h_6h-00024.vtu
150.0547222222222,C1,drywell_formal_C1_0_480h_6h-00025.vtu,C1_drywell_formal_C1_0_480h_6h-00025.vtu
156.0547222222222,C1,drywell_formal_C1_0_480h_6h-00026.vtu,C1_drywell_formal_C1_0_480h_6h-00026.vtu
162.0547222222222,C1,drywell_formal_C1_0_480h_6h-00027.vtu,C1_drywell_formal_C1_0_480h_6h-00027.vtu
168.0038888888889,C1,drywell_formal_C1_0_480h_6h-00028.vtu,C1_drywell_formal_C1_0_480h_6h-00028.vtu
174.0872222222222,C1,drywell_formal_C1_0_480h_6h-00029.vtu,C1_drywell_formal_C1_0_480h_6h-00029.vtu
180.05555555555554,C1,drywell_formal_C1_0_480h_6h-00030.vtu,C1_drywell_formal_C1_0_480h_6h-00030.vtu
186.05555555555554,C1,drywell_formal_C1_0_480h_6h-00031.vtu,C1_drywell_formal_C1_0_480h_6h-00031.vtu
192.05555555555554,C1,drywell_formal_C1_0_480h_6h-00032.vtu,C1_drywell_formal_C1_0_480h_6h-00032.vtu
198.01111111111112,C1,drywell_formal_C1_0_480h_6h-00033.vtu,C1_drywell_formal_C1_0_480h_6h-00033.vtu
204.05055555555555,C1,drywell_formal_C1_0_480h_6h-00034.vtu,C1_drywell_formal_C1_0_480h_6h-00034.vtu
