time_s,time_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cumulative_gross_injection_m3
0.000000000,0.000000000,0.000000000000e+00,0.000000000,0.000000000
3644.450000000,1.012347222,1.348192503300e-02,48.534930119,24.567100843
7336.570000000,2.037936111,1.108915240003e-02,39.920948640,69.926784049
10883.100000000,3.023083333,1.027477137950e-02,36.989176966,107.810682350
14483.100000000,4.023083333,9.772244436906e-03,35.180079973,143.895310820
18083.100000000,5.023083333,9.428499910288e-03,33.942599677,178.456650645
21683.100000000,6.023083333,9.169517165230e-03,33.010261795,211.933081381
25283.100000000,7.023083333,8.974171081194e-03,32.307015892,244.591720224
28883.100000000,8.023083333,8.798554095798e-03,31.674794745,276.582625543
32483.100000000,9.023083333,8.653285475138e-03,31.151827710,307.995936770
36083.100000000,10.023083333,8.527102547628e-03,30.697569171,338.920635211
39683.100000000,11.023083333,8.406908393735e-03,30.264870217,369.401854906
43283.100000000,12.023083333,8.302288467667e-03,29.888238484,399.478409256
46883.100000000,13.023083333,8.216510790488e-03,29.579438846,429.212247921
50483.100000000,14.023083333,8.129862322536e-03,29.267504361,458.635719525
54083.100000000,15.023083333,8.052719656268e-03,28.989790763,487.764367086
57683.100000000,16.023083333,7.965410482707e-03,28.675477738,516.597001337
61283.100000000,17.023083333,7.895839690172e-03,28.425022885,545.147251648
64883.100000000,18.023083333,7.819187343423e-03,28.149074436,573.434300308
68483.100000000,19.023083333,7.758479631799e-03,27.930526674,601.474100864
72083.100000000,20.023083333,7.702252185715e-03,27.728107869,629.303418135
75683.100000000,21.023083333,7.648430888403e-03,27.534351198,656.934647668
79283.100000000,22.023083333,7.591058441958e-03,27.327810391,684.365728463
82883.100000000,23.023083333,7.543709944088e-03,27.157355799,711.608311558
86483.100000000,24.023083333,7.510091089811e-03,27.036327923,738.705153419
90083.100000000,25.023083333,7.456809820791e-03,26.844515355,765.645575058
93683.100000000,26.023083333,7.409796969784e-03,26.675269091,792.405467281
97283.100000000,27.023083333,7.372174104150e-03,26.539826775,819.013015214
100883.000000000,28.023055556,7.351210498464e-03,26.464357794,845.514371330
104483.000000000,29.023055556,7.323037985504e-03,26.362936748,871.928018601
108083.000000000,30.023055556,7.295655881143e-03,26.264361172,898.241667561
111683.000000000,31.023055556,7.264915152746e-03,26.153694550,924.450695422
115283.000000000,32.023055556,7.215469143533e-03,25.975688917,950.515387155
118883.000000000,33.023055556,7.186792686687e-03,25.872453672,976.439458450
122483.000000000,34.023055556,7.167300658485e-03,25.802282371,1002.276826471
126083.000000000,35.023055556,7.140652355754e-03,25.706348481,1028.031141896
129683.000000000,36.023055556,7.120726371050e-03,25.634614936,1053.701623605
133283.000000000,37.023055556,7.101987081372e-03,25.567153493,1079.302507819
136883.000000000,38.023055556,7.084762666123e-03,25.505145598,1104.838657365
140483.000000000,39.023055556,7.057189479468e-03,25.405882126,1130.294171227
144083.000000000,40.023055556,7.036822003277e-03,25.332559212,1155.663391896
147683.000000000,41.023055556,7.024005488852e-03,25.286419760,1180.972881381
151283.000000000,42.023055556,7.012832448834e-03,25.246196816,1206.239189669
154883.000000000,43.023055556,7.000197944710e-03,25.200712601,1231.462644378
158483.000000000,44.023055556,6.985405117167e-03,25.147458422,1256.636729889
162083.000000000,45.023055556,6.972752880129e-03,25.101910368,1281.761414284
165683.000000000,46.023055556,6.959375589304e-03,25.053752121,1306.839245529
169283.000000000,47.023055556,6.937636785201e-03,24.975492427,1331.853867803
172883.000000000,48.023055556,6.923704368085e-03,24.925335725,1356.804281879
176483.000000000,49.023055556,6.911892693731e-03,24.882813697,1381.708356590
180083.000000000,50.023055556,6.900101143193e-03,24.840364115,1406.569945497
183683.000000000,51.023055556,6.886420216152e-03,24.791112778,1431.385683944
187283.000000000,52.023055556,6.871873476573e-03,24.738744516,1456.150612591
190883.000000000,53.023055556,6.860324347076e-03,24.697167649,1480.868568673
194483.000000000,54.023055556,6.849640436140e-03,24.658705570,1505.546505283
198083.000000000,55.023055556,6.837272743265e-03,24.614181876,1530.182949006
201683.000000000,56.023055556,6.825247271688e-03,24.570890178,1554.775485033
205283.000000000,57.023055556,6.813353102326e-03,24.528071168,1579.324965706
208883.000000000,58.023055556,6.800237718226e-03,24.480855786,1603.829429183
212483.000000000,59.023055556,6.773785074492e-03,24.385626268,1628.262670210
216083.000000000,60.023055556,6.751999250987e-03,24.307197304,1652.609081996
219683.000000000,61.023055556,6.737865876517e-03,24.256317155,1676.890839225
223283.000000000,62.023055556,6.723178509613e-03,24.203442635,1701.120719120
226883.000000000,63.023055556,6.702754480152e-03,24.129916129,1725.287398502
230483.000000000,64.023055556,6.684666093971e-03,24.064797938,1749.384755535
234083.000000000,65.023055556,6.668708776918e-03,24.007351597,1773.420830303
237683.000000000,66.023055556,6.655682209068e-03,23.960455953,1797.404734078
241283.000000000,67.023055556,6.642266823592e-03,23.912160565,1821.341042336
244883.000000000,68.023055556,6.611505858897e-03,23.801421092,1845.197833165
248483.000000000,69.023055556,6.590899586077e-03,23.727238510,1868.962162966
252083.000000000,70.023055556,6.570997493642e-03,23.655590977,1892.653577709
255683.000000000,71.023055556,6.554992879057e-03,23.597974365,1916.280360380
259283.000000000,72.023055556,6.522189997936e-03,23.479883993,1939.819289559
