absolute_time_s,absolute_time_h,cycle2_elapsed_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cycle2_cumulative_injection_m3
864000.000000000,240.000000000,0.000000000,0.000000000000e+00,0.000000000,0.000000000
867648.000000000,241.013333333,1.013333333,6.145633614014e-03,22.124281010,11.209635712
871227.000000000,242.007500000,2.007500000,5.037032937073e-03,18.133318573,31.221017505
874827.000000000,243.007500000,3.007500000,4.593029750965e-03,16.534907103,48.555130344
878735.000000000,244.093055556,4.093055556,4.316357464325e-03,15.538886872,65.964072962
882000.000000000,245.000000000,5.000000000,4.167440992120e-03,15.002787572,79.813873942
885868.000000000,246.074444444,6.074444444,4.019242913919e-03,14.469274490,95.646920617
889468.000000000,247.074444444,7.074444444,3.923844910768e-03,14.125841679,109.944478701
893068.000000000,248.074444444,8.074444444,3.845658927871e-03,13.844372140,123.929585611
896668.000000000,249.074444444,9.074444444,3.779135591891e-03,13.604888131,137.654215746
900268.000000000,250.074444444,10.074444444,3.722050289539e-03,13.399381042,151.156350333
903868.000000000,251.074444444,11.074444444,3.674979802130e-03,13.229927288,164.471004498
907468.000000000,252.074444444,12.074444444,3.634074456711e-03,13.082668044,177.627302164
911068.000000000,253.074444444,13.074444444,3.597283317128e-03,12.950219942,190.643746157
914668.000000000,254.074444444,14.074444444,3.560183189735e-03,12.816659483,203.527185869
918268.000000000,255.074444444,15.074444444,3.529884055528e-03,12.707582600,216.289306910
921868.000000000,256.074444444,16.074444444,3.503732517150e-03,12.613437062,228.949816741
925468.000000000,257.074444444,17.074444444,3.479763709391e-03,12.527149354,241.520109949
929068.000000000,258.074444444,18.074444444,3.455323877571e-03,12.439165959,254.003267606
932668.000000000,259.074444444,19.074444444,3.432545983694e-03,12.357165541,266.401433356
936268.000000000,260.074444444,20.074444444,3.411348892889e-03,12.280856014,278.720444134
939868.000000000,261.074444444,21.074444444,3.392029194402e-03,12.211305100,290.966524691
943468.000000000,262.074444444,22.074444444,3.373045605991e-03,12.142964182,303.143659332
947068.000000000,263.074444444,23.074444444,3.353646959852e-03,12.073129055,315.251705950
950668.000000000,264.074444444,24.074444444,3.335298008677e-03,12.007072831,327.291806893
954268.000000000,265.074444444,25.074444444,3.317961907259e-03,11.944662866,339.267674742
