target_time_h	actual_dumux_time_h	offset_minutes	archived_file	original_file
0.000000	0.000000000	+0.000000	dumux_head8m_000h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00000.vtu
6.000000	6.065638889	+3.938333	dumux_head8m_006h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00006.vtu
12.000000	12.065638889	+3.938333	dumux_head8m_012h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00012.vtu
18.000000	18.065638889	+3.938333	dumux_head8m_018h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00018.vtu
24.000000	24.065638889	+3.938333	dumux_head8m_024h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00024.vtu
30.000000	30.065555556	+3.933333	dumux_head8m_030h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00030.vtu
36.000000	36.065555556	+3.933333	dumux_head8m_036h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00036.vtu
42.000000	42.065555556	+3.933333	dumux_head8m_042h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00042.vtu
48.000000	48.065555556	+3.933333	dumux_head8m_048h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00048.vtu
54.000000	54.065555556	+3.933333	dumux_head8m_054h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00054.vtu
60.000000	60.065555556	+3.933333	dumux_head8m_060h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00060.vtu
66.000000	66.065555556	+3.933333	dumux_head8m_066h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00066.vtu
72.000000	72.065555556	+3.933333	dumux_head8m_072h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00072.vtu
78.000000	78.065555556	+3.933333	dumux_head8m_078h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00078.vtu
84.000000	84.065555556	+3.933333	dumux_head8m_084h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00084.vtu
90.000000	90.065555556	+3.933333	dumux_head8m_090h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00090.vtu
96.000000	96.000000000	+0.000000	dumux_head8m_096h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00096.vtu
102.000000	102.091666667	+5.500000	dumux_head8m_102h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00102.vtu
108.000000	108.091666667	+5.500000	dumux_head8m_108h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00108.vtu
114.000000	114.091666667	+5.500000	dumux_head8m_114h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00114.vtu
120.000000	120.091666667	+5.500000	dumux_head8m_120h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00120.vtu
126.000000	126.091666667	+5.500000	dumux_head8m_126h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00126.vtu
132.000000	132.091666667	+5.500000	dumux_head8m_132h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00132.vtu
138.000000	138.091666667	+5.500000	dumux_head8m_138h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00138.vtu
144.000000	144.091666667	+5.500000	dumux_head8m_144h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00144.vtu
150.000000	150.091666667	+5.500000	dumux_head8m_150h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00150.vtu
156.000000	156.091666667	+5.500000	dumux_head8m_156h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00156.vtu
162.000000	162.091666667	+5.500000	dumux_head8m_162h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00162.vtu
168.000000	168.091666667	+5.500000	dumux_head8m_168h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00168.vtu
174.000000	174.091666667	+5.500000	dumux_head8m_174h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00174.vtu
180.000000	180.091666667	+5.500000	dumux_head8m_180h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00180.vtu
186.000000	186.091666667	+5.500000	dumux_head8m_186h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00186.vtu
192.000000	192.072500000	+4.350000	dumux_head8m_192h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00192.vtu
198.000000	198.072500000	+4.350000	dumux_head8m_198h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00198.vtu
204.000000	204.072500000	+4.350000	dumux_head8m_204h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00204.vtu
210.000000	210.072500000	+4.350000	dumux_head8m_210h.vtu	drywell_head8m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00210.vtu
