model,time_s,time_h,scheduled_head_cm,effective_positive_head_m,inflow_m3_s,outflow_m3_s,net_inflow_m3_s,cumulative_inflow_m3,cumulative_outflow_m3,cumulative_net_m3
floodmar_pond3m_head5cm,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floodmar_pond3m_head5cm,21659.6,6.016555555555555,5.0,0.05,0.01944816573942543,0.0,0.01944816573942543,210.61974532482952,0.0,210.61974532482952
floodmar_pond3m_head5cm,43259.6,12.016555555555556,5.0,0.05,0.019530649200164816,0.0,0.019530649200164816,631.5909466724042,0.0,631.5909466724042
floodmar_pond3m_head5cm,64859.6,18.016555555555556,5.0,0.05,0.019505587449505285,0.0,0.019505587449505285,1053.1823024888413,0.0,1053.1823024888413
floodmar_pond3m_head5cm,86459.6,24.016555555555556,5.0,0.05,0.019494568112210894,0.0,0.019494568112210894,1474.3839825553762,0.0,1474.3839825553762
floodmar_pond3m_head5cm,108060.0,30.016666666666666,5.0,0.05,0.01947431670853228,0.0,0.01947431670853228,1895.2557323963665,0.0,1895.2557323963665
floodmar_pond3m_head5cm,129660.0,36.016666666666666,5.0,0.05,0.01945790283567826,0.0,0.01945790283567826,2315.7237034738405,0.0,2315.7237034738405
floodmar_pond3m_head5cm,151260.0,42.016666666666666,5.0,0.05,0.019445406566562372,0.0,0.019445406566562372,2735.8794450180394,0.0,2735.8794450180394
floodmar_pond3m_head5cm,172860.0,48.016666666666666,5.0,0.05,0.0194361770480098,0.0,0.0194361770480098,3155.800548055419,0.0,3155.800548055419
floodmar_pond3m_head5cm,194460.0,54.016666666666666,5.0,0.05,0.019419505156151134,0.0,0.019419505156151134,3575.441915860357,0.0,3575.441915860357
floodmar_pond3m_head5cm,216060.0,60.016666666666666,5.0,0.05,0.019385409246878205,0.0,0.019385409246878205,3994.534991413074,0.0,3994.534991413074
floodmar_pond3m_head5cm,237660.0,66.01666666666667,5.0,0.05,0.01931398124546554,0.0,0.01931398124546554,4412.488408730386,0.0,4412.488408730386
floodmar_pond3m_head5cm,259260.0,72.01666666666667,5.0,0.05,0.01920104203257775,0.0,0.01920104203257775,4828.450660133254,0.0,4828.450660133254
floodmar_pond3m_head5cm,280860.0,78.01666666666667,5.0,0.05,0.019051357693296845,0.0,0.019051357693296845,5241.5765771727,0.0,5241.5765771727
floodmar_pond3m_head5cm,302460.0,84.01666666666667,5.0,0.05,0.01887975665490352,0.0,0.01887975665490352,5651.232612133264,0.0,5651.232612133264
floodmar_pond3m_head5cm,324060.0,90.01666666666667,5.0,0.05,0.018635866501409592,0.0,0.018635866501409592,6056.401342221446,0.0,6056.401342221446
floodmar_pond3m_head5cm,345660.0,96.01666666666667,4.900000000000006,0.04900000000000006,0.018260145648269156,0.0,0.018260145648269156,6454.8782734379765,0.0,6454.8782734379765
floodmar_pond3m_head5cm,367224.0,102.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,388824.0,108.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,410424.0,114.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,432024.0,120.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,453624.0,126.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,475224.0,132.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,496824.0,138.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,518424.0,144.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,540024.0,150.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,561624.0,156.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,583224.0,162.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,604824.0,168.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,626424.0,174.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,648024.0,180.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,669624.0,186.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
floodmar_pond3m_head5cm,691224.0,192.00666666666666,-25.0,0.0,0.0,0.0,0.0,6651.7591638176145,0.0,6651.7591638176145
