elevation_m,O2_0h_g_cm3,O2_241.22028h_g_cm3,O2_481.21944h_g_cm3,O2_721.21944h_g_cm3,O2_961.21944h_g_cm3,O2_1201.2194h_g_cm3,O2_1441.2194h_g_cm3,O2_1681.2194h_g_cm3,O2_1921.2194h_g_cm3,O2_2161.2194h_g_cm3,O2_2401.2194h_g_cm3,O2_2641.2194h_g_cm3,O2_2881.2222h_g_cm3,O2_3121.2222h_g_cm3,O2_3361.2222h_g_cm3,O2_3601.2222h_g_cm3,O2_3841.2222h_g_cm3,O2_4081.2222h_g_cm3,O2_4321.2222h_g_cm3,O2_4561.2222h_g_cm3,O2_4801.2222h_g_cm3,O2_5041.2222h_g_cm3,O2_5281.2222h_g_cm3,O2_5521.2222h_g_cm3,O2_5760h_g_cm3
0.000000000000000000e+00,6.978820692893350497e-06,4.465013716981047764e-06,2.643295829329872504e-06,1.533675458631478250e-06,7.160475661294185556e-07,2.716031985983136110e-07,1.084604761558694008e-07,4.399798925192044408e-08,1.808704652717096906e-08,7.533518697755425819e-09,3.176398699622495769e-09,1.353888112731738147e-09,5.825455118291245071e-10,2.527270337449039062e-10,1.104401847751290688e-10,4.858093788362438659e-11,2.150756482632854016e-11,9.591726718438664534e-12,4.325403316768339224e-12,2.048486163683249650e-12,1.137531908945721426e-12,7.458750414177095500e-13,5.767050248808858193e-13,5.245400468145700046e-13,5.413070707817324578e-13
5.000000000000000278e-02,6.978820692893350497e-06,4.465013716981047764e-06,2.643295829329872504e-06,1.533675458631478250e-06,7.160475661294185556e-07,2.716031985983136110e-07,1.084604761558694008e-07,4.399798925192044408e-08,1.808704652717096906e-08,7.533518697755425819e-09,3.176398699622495769e-09,1.353888112731738147e-09,5.825455118291245071e-10,2.527270337449039062e-10,1.104401847751290688e-10,4.858093788362438659e-11,2.150756482632854016e-11,9.591726718438664534e-12,4.325403316768339224e-12,2.048486163683249650e-12,1.137531908945721426e-12,7.458750414177095500e-13,5.767050248808858193e-13,5.245400468145700046e-13,5.413070707817324578e-13
1.000000000000000056e-01,6.978820692893350497e-06,4.464947007847106815e-06,2.643205538675427384e-06,1.533516126913527852e-06,7.157087450365254849e-07,2.715640083094163296e-07,1.084477241573565374e-07,4.399254829729090627e-08,1.808461043478825959e-08,7.532432649969143505e-09,3.175921435992164900e-09,1.353681187054715844e-09,5.824565992685821123e-10,2.526888770614528761e-10,1.104239134797544756e-10,4.857408015081530750e-11,2.150474125892530327e-11,9.590626738155381939e-12,4.325067760338602291e-12,2.048494353252785548e-12,1.137698935192533517e-12,7.461489887023228001e-13,5.770639253119036473e-13,5.249730987893436313e-13,5.418024167796044420e-13
1.500000000000000222e-01,6.978820692893350497e-06,4.464835180200470823e-06,2.642989269095916184e-06,1.533328617185827956e-06,7.153905210350675739e-07,2.715317062733447233e-07,1.084375323420639765e-07,4.398819085707303812e-08,1.808272721000768724e-08,7.531660407021767627e-09,3.175606942672448892e-09,1.353547007098779665e-09,5.823996079303798330e-10,2.526646233241478575e-10,1.104132740166091401e-10,4.856949783642077624e-11,2.150272382635631253e-11,9.589805564889643780e-12,4.324785018661801812e-12,2.048476863984043584e-12,1.137827123533429944e-12,7.463960696717418189e-13,5.774214708904918148e-13,5.254361435665466742e-13,5.423764897090300011e-13
2.000000000000000111e-01,6.978820692893350497e-06,4.464650672253036272e-06,2.642601262690378053e-06,1.532997421167861010e-06,7.148258829045169376e-07,2.714754918324107184e-07,1.084195805177846489e-07,4.398045715212721412e-08,1.807943440412833482e-08,7.530288468657163334e-09,3.175040008187141531e-09,1.353308915974064706e-09,5.822986653981300873e-10,2.526212201224097630e-10,1.103943921219645712e-10,4.856127534102038515e-11,2.149920172636838988e-11,9.588351585339045318e-12,4.324291316468671513e-12,2.048457390402775127e-12,1.138066784097818843e-12,7.468505147845238002e-13,5.780776261472053398e-13,5.262836759875791891e-13,5.434277404402466516e-13
2.500000000000000000e-01,6.978820692893348803e-06,4.464466164305600873e-06,2.642213256284839074e-06,1.532666225149893852e-06,7.142612447739663012e-07,2.714192773914767665e-07,1.084016286935053080e-07,4.397272344718139673e-08,1.807614159824898570e-08,7.528916530292559040e-09,3.174473073701833342e-09,1.353070824849349955e-09,5.821977228658802382e-10,2.525778169206716168e-10,1.103755102273200023e-10,4.855305284562000053e-11,2.149567962638047370e-11,9.586897605788443624e-12,4.323797614275542023e-12,2.048437916821506671e-12,1.138306444662208146e-12,7.473049598973057815e-13,5.787337814039188649e-13,5.271312084086118050e-13,5.444789911714631001e-13
3.000000000000000444e-01,6.978820692893349650e-06,4.464281656358165475e-06,2.641825249879301366e-06,1.532335029131927118e-06,7.136966066434155590e-07,2.713630629505428675e-07,1.083836768692259935e-07,4.396498974223557934e-08,1.807284879236963990e-08,7.527544591927954746e-09,3.173906139216526394e-09,1.352832733724634789e-09,5.820967803336303890e-10,2.525344137189335223e-10,1.103566283326754464e-10,4.854483035021961590e-11,2.149215752639255105e-11,9.585443626237843546e-12,4.323303912082413340e-12,2.048418443240238618e-12,1.138546105226597449e-12,7.477594050100876618e-13,5.793899366606323900e-13,5.279787408296444209e-13,5.455302419026798515e-13
3.500000000000000333e-01,6.978820692893351344e-06,4.464097148410730076e-06,2.641437243473763234e-06,1.532003833113960171e-06,7.131319685128648168e-07,2.713068485096089156e-07,1.083657250449466659e-07,4.395725603728977518e-08,1.806955598649029078e-08,7.526172653563352106e-09,3.173339204731218619e-09,1.352594642599920038e-09,5.819958378013806433e-10,2.524910105171954278e-10,1.103377464380309034e-10,4.853660785481923128e-11,2.148863542640463163e-11,9.583989646687243468e-12,4.322810209889283041e-12,2.048398969658970566e-12,1.138785765790986550e-12,7.482138501228696431e-13,5.800460919173459150e-13,5.288262732506770368e-13,5.465814926338964010e-13
4.000000000000000222e-01,6.978820692893350497e-06,4.463925441117582582e-06,2.641062644702738789e-06,1.531685852183563489e-06,7.125962270228933286e-07,2.712533774420271261e-07,1.083486509934824695e-07,4.394989776990453920e-08,1.806645709620887201e-08,7.524870609171430880e-09,3.172798825914669936e-09,1.352369302673650129e-09,5.819003554457653119e-10,2.524497118394861513e-10,1.103198432351901244e-10,4.852879399111970029e-11,2.148529344953214899e-11,9.582609698162613682e-12,4.322343629296006143e-12,2.048383839667914366e-12,1.139015862979416356e-12,7.486492381034983429e-13,5.806756249689813373e-13,5.296396675813676353e-13,5.475911605482308494e-13
4.500000000000000111e-01,6.978820692893351344e-06,4.463684246557954110e-06,2.640567140157870413e-06,1.531264406705223019e-06,7.119026845785174785e-07,2.711835444968495837e-07,1.083262795754381520e-07,4.394025555500404528e-08,1.806237433076874154e-08,7.523165709497340853e-09,3.172090997179902507e-09,1.352074311808447017e-09,5.817751674171178066e-10,2.523957394717655873e-10,1.102964423769893454e-10,4.851859641488553035e-11,2.148091300598258066e-11,9.580809227253846039e-12,4.321735996480307552e-12,2.048365575566077857e-12,1.139321068156874390e-12,7.492238612292132095e-13,5.815041822748263792e-13,5.307103366898871168e-13,5.489198968555059103e-13
