model,time_s,time_h,scheduled_head_cm,effective_positive_head_m,inflow_m3_s,outflow_m3_s,net_inflow_m3_s,cumulative_inflow_m3,cumulative_outflow_m3,cumulative_net_m3
floodmar_pond5m_head5cm,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floodmar_pond5m_head5cm,21622.1,6.006138888888889,5.0,0.025025578703703703,0.01390657621336447,0.0,0.01390657621336447,150.34469077149396,0.0,150.34469077149396
floodmar_pond5m_head5cm,43200.0,12.0,5.0,0.05,0.0630828306526856,0.0,0.0630828306526856,980.979551978965,0.0,980.979551978965
floodmar_pond5m_head5cm,64869.1,18.019194444444445,5.0,0.05,0.06733772694790197,0.0,0.06733772694790197,2394.027604330411,0.0,2394.027604330411
floodmar_pond5m_head5cm,86728.2,24.091166666666666,5.0,0.05,0.06975290526315815,0.0,0.06975290526315815,3892.3665236128027,0.0,3892.3665236128027
floodmar_pond5m_head5cm,108378.0,30.105,5.0,0.05,0.0711775034023456,0.0,0.0711775034023456,5417.924104376015,0.0,5417.924104376015
floodmar_pond5m_head5cm,129610.0,36.00277777777778,5.0,0.05,0.07154050634980157,0.0,0.07154050634980157,6933.018495904809,0.0,6933.018495904809
floodmar_pond5m_head5cm,151496.0,42.08222222222222,5.0,0.05,0.07168257226289965,0.0,0.07168257226289965,8500.308645163599,0.0,8500.308645163599
floodmar_pond5m_head5cm,173163.0,48.100833333333334,5.0,0.05,0.0717465917988913,0.0,0.0717465917988913,10054.148494027011,0.0,10054.148494027011
floodmar_pond5m_head5cm,194900.0,54.138888888888886,5.0,0.05,0.07172972713265384,0.0,0.07172972713265384,11613.52086633451,0.0,11613.52086633451
floodmar_pond5m_head5cm,216500.0,60.138888888888886,5.0,0.05,0.07168795870858924,0.0,0.07168795870858924,13162.431873419935,0.0,13162.431873419935
floodmar_pond5m_head5cm,238100.0,66.13888888888889,5.0,0.05,0.0716307546397259,0.0,0.0716307546397259,14710.273977581739,0.0,14710.273977581739
floodmar_pond5m_head5cm,259700.0,72.13888888888889,5.0,0.05,0.071559480935467,0.0,0.071559480935467,16256.728521793822,0.0,16256.728521793822
floodmar_pond5m_head5cm,280891.0,78.02527777777777,5.0,0.05,0.07141277309094808,0.0,0.07141277309094808,17771.591039330702,0.0,17771.591039330702
floodmar_pond5m_head5cm,302402.0,84.00055555555555,5.0,0.05,0.07113476112408298,0.0,0.07113476112408298,19304.761043580467,0.0,19304.761043580467
floodmar_pond5m_head5cm,324527.0,90.1463888888889,5.0,0.05,0.07065320298562014,0.0,0.07065320298562014,20873.290396544056,0.0,20873.290396544056
floodmar_pond5m_head5cm,345600.0,96.0,5.0,0.05,0.07004961414972266,0.0,0.07004961414972266,22355.805629290597,0.0,22355.805629290597
